query_id,system,P@10,R@20,F1,hallucinated_or_out_of_pool,total_tokens,latency_s
litsearch_000,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_000,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_000,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_000,single_llm,0.0,0.0,0.0,0,1533,9.290098900091834
litsearch_000,scholarloop_a,0.0,0.0,0.0,0,257,1.9945264999987558
litsearch_001,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_001,bm25,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_001,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_001,single_llm,0.1,1.0,0.18181818181818182,0,1436,8.946943399962038
litsearch_001,scholarloop_a,0.1,1.0,0.18181818181818182,0,329,2.8893593000248075
litsearch_002,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_002,bm25,0.1,0.5,0.16666666666666669,0,0,0.0
litsearch_002,neural_embedding,0.1,0.5,0.16666666666666669,0,0,0.0
litsearch_002,single_llm,0.1,0.5,0.16666666666666669,0,1125,5.650182000012137
litsearch_002,scholarloop_a,0.1,0.5,0.16666666666666669,0,335,2.429816900053993
litsearch_003,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_003,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_003,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_003,single_llm,0.0,0.0,0.0,0,1457,9.030180000001565
litsearch_003,scholarloop_a,0.0,0.0,0.0,0,323,2.7739502999465913
litsearch_004,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_004,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_004,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_004,single_llm,0.0,0.0,0.0,0,1184,6.7808608000632375
litsearch_004,scholarloop_a,0.0,0.0,0.0,0,246,2.1432660999707878
litsearch_005,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_005,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_005,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_005,single_llm,0.1,1.0,0.18181818181818182,0,1161,6.0777270999969915
litsearch_005,scholarloop_a,0.1,1.0,0.18181818181818182,0,315,2.3523181999335065
litsearch_006,keyword,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_006,bm25,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_006,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_006,single_llm,0.1,1.0,0.18181818181818182,0,1666,10.198197399964556
litsearch_006,scholarloop_a,0.0,1.0,0.0,0,292,2.0379330000141636
litsearch_007,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_007,bm25,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_007,neural_embedding,0.1,1.0,0.18181818181818182,0,0,0.0
litsearch_007,single_llm,0.1,1.0,0.18181818181818182,0,1891,11.709296899964102
litsearch_007,scholarloop_a,0.1,1.0,0.18181818181818182,0,332,2.2524357999209315
litsearch_008,keyword,0.1,0.3333333333333333,0.15384615384615383,0,0,0.0
litsearch_008,bm25,0.1,0.3333333333333333,0.15384615384615383,0,0,0.0
litsearch_008,neural_embedding,0.2,1.0,0.33333333333333337,0,0,0.0
litsearch_008,single_llm,0.1,0.3333333333333333,0.15384615384615383,0,1169,5.438845099997707
litsearch_008,scholarloop_a,0.1,0.6666666666666666,0.1739130434782609,0,333,2.4684784000273794
litsearch_009,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_009,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_009,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_009,single_llm,0.0,0.0,0.0,0,1236,6.698766499990597
litsearch_009,scholarloop_a,0.0,0.0,0.0,0,213,1.5339700999902561
litsearch_010,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_010,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_010,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_010,single_llm,0.0,0.0,0.0,0,1117,5.490853899973445
litsearch_010,scholarloop_a,0.0,0.0,0.0,0,277,2.3943246999988332
litsearch_011,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_011,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_011,neural_embedding,0.0,0.0,0.0,0,0,0.0
litsearch_011,single_llm,0.0,0.0,0.0,0,1406,8.563344599911943
litsearch_011,scholarloop_a,0.1,1.0,0.18181818181818182,0,284,1.8838285999372602
litsearch_012,keyword,0.0,0.0,0.0,0,0,0.0
litsearch_012,bm25,0.0,0.0,0.0,0,0,0.0
litsearch_012,neural_embedding,0.0,0.5,0.0,0,0,0.0
litsearch_012,single_llm,0.0,0.0,0.0,0,2165,15.440216499962844
